s_km grade_pct
0.0000 0.0206
0.0500 0.0342
0.1000 0.0327
0.1500 0.0227
0.2000 0.0263
0.2500 0.0416
0.3000 0.0556
0.3500 0.0740
0.4000 0.1014
0.4500 0.1375
0.5000 0.1495
0.5500 0.1337
0.6000 0.1131
0.6500 0.0962
0.7000 0.1260
0.7500 0.1764
0.8000 0.2243
0.8500 0.2630
0.9000 0.2864
0.9500 0.3029
1.0000 0.3089
1.0500 0.3146
1.1000 0.3975
1.1500 0.4786
1.2000 0.5376
1.2500 0.5893
1.3000 0.6165
1.3500 0.5954
1.4000 0.5645
1.4500 0.5168
1.5000 0.5023
1.5500 0.5259
1.6000 0.5908
1.6500 0.6390
1.7000 0.6493
1.7500 0.6355
1.8000 0.6076
1.8500 0.5758
1.9000 0.6126
1.9500 0.7045
2.0000 0.8045
2.0500 0.7961
2.1000 0.7443
2.1500 0.6790
2.2000 0.6244
2.2500 0.5755
2.3000 0.5161
2.3500 0.4757
2.4000 0.4679
2.4500 0.4809
2.5000 0.4867
2.5500 0.4845
2.6000 0.4753
2.6500 0.4693
2.7000 0.4710
2.7500 0.4943
2.8000 0.5941
2.8500 0.6128
2.9000 0.5818
2.9500 0.5478
3.0000 0.5450
3.0500 0.5779
3.1000 0.6030
3.1500 0.6090
3.2000 0.5979
3.2500 0.5774
3.3000 0.5620
3.3500 0.5539
3.4000 0.5674
3.4500 0.6197
3.5000 0.6759
3.5500 0.7115
3.6000 0.6717
3.6400 0.5611
3.6900 0.4642
3.7300 0.3600
3.7800 0.2686
3.8300 0.1955
3.8800 0.1337
3.9300 0.0704
3.9800 0.0028
4.0300 -0.0585
4.0800 -0.1252
4.1300 -0.0997
4.1800 -0.0172
4.2300 0.1086
4.2800 0.2645
4.3300 0.4234
4.3800 0.5251
4.4300 0.5329
4.4800 0.5657
4.5300 0.6547
4.5800 0.7125
4.6300 0.7722
4.6800 0.8027
4.7300 0.7952
4.7800 0.7573
4.8300 0.7050
4.8800 0.6181
4.9300 0.5953
4.9800 0.6936
5.0300 0.7624
5.0800 0.7995
5.1300 0.8057
5.1800 0.7779
5.2200 0.7176
5.2700 0.6441
5.3200 0.6577
5.3700 0.7378
5.4200 0.8100
5.4700 0.8607
5.5200 0.7604
5.5700 0.7547
5.6200 0.7882
5.6700 0.8303
5.7200 0.8432
5.7700 0.9159
5.8200 0.9810
5.8700 1.0065
5.9200 0.9964
5.9700 0.9517
6.0200 0.8676
6.0700 0.7593
6.1200 0.6836
6.1700 0.6728
6.2200 0.7258
6.2700 0.7437
6.3200 0.6439
6.3700 0.5478
6.4200 0.5131
6.4700 0.5371
6.5200 0.5752
6.5700 0.6300
6.6200 0.7213
6.6700 0.7826
6.7200 0.8137
6.7700 0.8175
6.8200 0.8214
6.8700 0.8098
6.9200 0.7835
6.9700 0.7450
7.0200 0.8053
7.0700 0.8363
7.1200 0.8152
7.1700 0.7638
7.2200 0.6911
7.2700 0.5953
7.3200 0.4787
7.3700 0.3963
7.4200 0.4055
7.4700 0.4298
7.5200 0.4494
7.5700 0.4424
7.6200 0.4929
7.6700 0.4496
7.7200 0.4336
7.7700 0.4140
7.8200 0.5037
7.8700 0.6051
7.9200 0.6682
7.9700 0.6987
8.0200 0.7662
8.0700 0.8430
8.1200 0.8946
8.1700 0.9221
8.2200 1.0133
8.2700 1.0841
8.3200 1.1153
8.3700 1.1368
8.4200 1.1670
8.4700 1.0908
8.5200 0.9676
8.5700 0.8330
8.6200 0.8070
8.6700 0.8135
8.7200 0.7966
8.7700 0.7141
8.8200 0.6632
8.8700 0.6219
8.9200 0.5883
8.9700 0.5448
9.0200 0.5418
9.0700 0.5442
9.1200 0.5005
9.1700 0.4671
9.2200 0.4497
9.2700 0.4763
9.3200 0.4779
9.3700 0.4461
9.4200 0.4585
9.4700 0.5086
9.5200 0.5487
9.5700 0.5703
9.6200 0.5755
9.6700 0.5586
9.7200 0.5305
9.7700 0.4888
9.8200 0.4320
9.8700 0.3818
9.9200 0.3340
9.9700 0.2687
10.0200 0.2004
10.0700 0.2132
10.1200 0.2765
10.1700 0.3324
10.2200 0.3851
10.2700 0.4291
10.3200 0.4561
10.3700 0.4684
10.4200 0.4638
10.4700 0.4412
10.5200 0.4001
10.5700 0.2876
10.6200 0.1895
10.6700 0.1614
10.7200 0.1477
10.7700 0.1623
10.8200 0.1819
10.8700 0.1989
10.9200 0.2690
10.9700 0.3576
11.0200 0.4458
11.0700 0.5269
11.1200 0.5895
11.1700 0.6348
11.2200 0.6622
11.2700 0.6702
11.3200 0.6566
11.3700 0.5835
11.4200 0.4055
11.4700 0.3243
11.5200 0.2681
11.5700 0.2268
11.6200 0.1984
11.6700 0.1815
11.7200 0.1826
