t trac brk
0.0000 0.0000 0.4768
0.5000 0.0000 0.4768
1.0000 0.0000 0.4768
1.5000 0.0000 0.4768
2.0000 0.0000 0.4768
2.5000 0.0000 0.4768
3.0000 0.0000 0.4768
3.5000 0.0000 0.4768
4.0000 0.0000 0.4768
4.5000 0.0000 0.4768
5.0000 0.0000 0.4768
5.5000 0.0000 0.4768
6.0000 0.0000 0.4768
6.5000 0.0000 0.4768
7.0000 0.0000 0.4768
7.5000 0.0000 0.4768
8.0000 0.0000 0.4768
8.5000 0.0000 0.4768
9.0000 0.0000 0.4768
9.5000 0.0000 0.4768
10.0000 0.0000 0.4768
10.5000 0.0000 0.4768
11.0000 0.0000 0.4768
11.5000 0.0000 0.4768
12.0000 0.0000 0.4768
12.5000 0.0000 0.4768
13.0000 0.0000 0.4768
13.5000 0.0000 0.4768
14.0000 0.0000 0.4768
14.5000 0.0000 0.4768
15.0000 0.0000 0.4768
15.5000 0.0000 0.4768
16.0000 0.0000 0.4768
16.5000 0.0000 0.4768
17.0000 0.0000 0.4768
17.5000 0.0000 0.4768
18.0000 0.0000 0.4768
18.5000 0.0000 0.4768
19.0000 0.0000 0.4768
19.5000 0.0000 0.4768
20.0000 0.0000 0.4768
20.5000 0.0000 0.4768
21.0000 0.0000 0.4768
21.5000 0.0000 0.4768
22.0000 0.0000 0.4768
22.5000 0.0000 0.4768
23.0000 0.0000 0.4768
23.5000 0.0000 0.4768
24.0000 0.0000 0.4768
24.5000 0.0000 0.4768
25.0000 0.0000 0.4768
25.5000 0.0000 0.4768
26.0000 0.0000 0.4768
26.5000 0.0000 0.4768
27.0000 0.0000 0.4768
27.5000 0.0000 0.4768
28.0000 0.0000 0.4768
28.5000 0.0000 0.4768
29.0000 0.0000 0.4768
29.5000 0.0000 0.4768
30.0000 0.0000 0.4768
30.5000 0.0000 0.4768
31.0000 0.0000 0.4768
31.5000 0.0000 0.4768
32.0000 0.0000 0.4768
32.5000 0.0000 0.4768
33.0000 0.0000 0.4768
33.5000 0.0000 0.4768
34.0000 0.0000 0.4768
34.5000 0.0000 0.4768
35.0000 0.0000 0.4768
35.5000 0.0000 0.4768
36.0000 0.0000 0.4768
36.5000 0.0000 0.4768
37.0000 0.0000 0.4768
37.5000 0.0000 0.4768
