t trac brk
0.0000 0.2465 0.0000
0.5000 0.2460 0.0000
1.0000 0.2446 0.0000
1.5000 0.2423 0.0000
2.0000 0.2391 0.0000
2.5000 0.2352 0.0000
3.0000 0.2305 0.0000
3.5000 0.2252 0.0000
4.0000 0.2192 0.0000
4.5000 0.2126 0.0000
5.0000 0.2055 0.0000
5.5000 0.1979 0.0000
6.0000 0.1899 0.0000
6.5000 0.1816 0.0000
7.0000 0.1729 0.0000
7.5000 0.1639 0.0000
8.0000 0.1547 0.0000
8.5000 0.1453 0.0000
9.0000 0.1359 0.0000
9.5000 0.1263 0.0000
10.0000 0.1167 0.0000
10.5000 0.1072 0.0000
11.0000 0.0978 0.0000
11.5000 0.0885 0.0000
12.0000 0.0793 0.0000
12.5000 0.0705 0.0000
13.0000 0.0619 0.0000
13.5000 0.0536 0.0000
14.0000 0.0458 0.0000
14.5000 0.0384 0.0000
15.0000 0.0315 0.0000
15.5000 0.0251 0.0000
16.0000 0.0193 0.0000
16.5000 0.0142 0.0000
17.0000 0.0098 0.0000
17.5000 0.0062 0.0000
18.0000 0.0033 0.0000
18.5000 0.0013 0.0000
19.0000 0.0002 0.0000
19.5000 0.0000 0.0000
20.0000 0.0000 0.0000
20.5000 0.0000 0.0000
21.0000 0.0000 0.0000
21.5000 0.0000 0.0000
22.0000 0.0000 0.0000
22.5000 0.0000 0.0000
23.0000 0.0000 0.0000
23.5000 0.0000 0.0000
24.0000 0.0000 0.0000
24.5000 0.0000 0.0000
25.0000 0.0000 0.0000
25.5000 0.0000 0.0000
26.0000 0.0000 0.0000
26.5000 0.0000 0.0000
27.0000 0.0000 0.0000
27.5000 0.0000 0.0000
28.0000 0.0000 0.0000
28.5000 0.0000 0.0000
29.0000 0.0000 0.0000
29.5000 0.0000 0.0000
30.0000 0.0000 0.0000
30.5000 0.0000 0.0000
31.0000 0.0000 0.0000
31.5000 0.0000 0.0000
32.0000 0.0000 0.0000
32.5000 0.0000 0.0000
33.0000 0.0000 0.0000
33.5000 0.0000 0.0000
34.0000 0.0000 0.0000
34.5000 0.0000 0.0000
35.0000 0.0000 0.0000
35.5000 0.0000 0.0000
36.0000 0.0000 0.0000
36.5000 0.0000 0.0000
37.0000 0.0000 0.0000
37.5000 0.0000 0.0000
38.0000 0.0000 0.0000
38.5000 0.0000 0.0000
39.0000 0.0000 0.0000
39.5000 0.0000 0.0000
40.0000 0.0000 0.0000
40.5000 0.0000 0.0000
41.0000 0.0000 0.0000
41.5000 0.0000 0.0000
42.0000 0.0000 0.0000
42.5000 0.0000 0.0000
43.0000 0.0000 0.0000
43.5000 0.0000 0.0000
44.0000 0.0000 0.0002
44.5000 0.0000 0.0032
45.0000 0.0000 0.0092
45.5000 0.0000 0.0180
46.0000 0.0000 0.0293
46.5000 0.0000 0.0429
47.0000 0.0000 0.0586
47.5000 0.0000 0.0759
48.0000 0.0000 0.0947
48.5000 0.0000 0.1146
49.0000 0.0000 0.1354
49.5000 0.0000 0.1569
50.0000 0.0000 0.1787
50.5000 0.0000 0.2007
51.0000 0.0000 0.2224
51.5000 0.0000 0.2436
52.0000 0.0000 0.2641
52.5000 0.0000 0.2836
53.0000 0.0000 0.3019
53.5000 0.0000 0.3185
54.0000 0.0000 0.3334
54.5000 0.0000 0.3461
55.0000 0.0000 0.3565
55.5000 0.0000 0.3642
56.0000 0.0000 0.3690
56.5000 0.0000 0.3706
57.0000 0.0000 0.3706
57.5000 0.0000 0.3706
58.0000 0.0000 0.3706
58.5000 0.0000 0.3706
59.0000 0.0000 0.3706
59.5000 0.0000 0.3706
60.0000 0.0000 0.3706
60.5000 0.0000 0.3706
61.0000 0.0000 0.3706
61.5000 0.0000 0.3706
62.0000 0.0000 0.3706
62.5000 0.0000 0.3706
