t trac brk
0.0000 0.4217 0.0000
0.5000 0.4217 0.0000
1.0000 0.4217 0.0000
1.5000 0.4216 0.0000
2.0000 0.4216 0.0000
2.5000 0.4215 0.0000
3.0000 0.4215 0.0000
3.5000 0.4214 0.0000
4.0000 0.4213 0.0000
4.5000 0.4212 0.0000
5.0000 0.4211 0.0000
5.5000 0.4210 0.0000
6.0000 0.4209 0.0000
6.5000 0.4208 0.0000
7.0000 0.4206 0.0000
7.5000 0.4205 0.0000
8.0000 0.4203 0.0000
8.5000 0.4202 0.0000
9.0000 0.4200 0.0000
9.5000 0.4198 0.0000
10.0000 0.4197 0.0000
10.5000 0.4195 0.0000
11.0000 0.4193 0.0000
11.5000 0.4191 0.0000
12.0000 0.4190 0.0000
12.5000 0.4188 0.0000
13.0000 0.4186 0.0000
13.5000 0.4184 0.0000
14.0000 0.4182 0.0000
14.5000 0.4180 0.0000
15.0000 0.4178 0.0000
15.5000 0.4176 0.0000
16.0000 0.4174 0.0000
16.5000 0.4172 0.0000
17.0000 0.4170 0.0000
17.5000 0.4168 0.0000
18.0000 0.4166 0.0000
18.5000 0.4165 0.0000
19.0000 0.4163 0.0000
19.5000 0.4161 0.0000
20.0000 0.4159 0.0000
20.5000 0.4158 0.0000
21.0000 0.4156 0.0000
21.5000 0.4154 0.0000
22.0000 0.4153 0.0000
22.5000 0.4151 0.0000
23.0000 0.4150 0.0000
23.5000 0.4148 0.0000
24.0000 0.4147 0.0000
24.5000 0.4146 0.0000
25.0000 0.4145 0.0000
25.5000 0.4144 0.0000
26.0000 0.4143 0.0000
26.5000 0.4142 0.0000
27.0000 0.4141 0.0000
27.5000 0.4141 0.0000
28.0000 0.4140 0.0000
28.5000 0.4140 0.0000
29.0000 0.4139 0.0000
29.5000 0.4139 0.0000
30.0000 0.4139 0.0000
30.5000 0.4139 0.0000
31.0000 0.4138 0.0000
31.5000 0.4137 0.0000
32.0000 0.4135 0.0000
32.5000 0.4133 0.0000
33.0000 0.4131 0.0000
33.5000 0.4128 0.0000
34.0000 0.4125 0.0000
34.5000 0.4121 0.0000
35.0000 0.4117 0.0000
35.5000 0.4113 0.0000
36.0000 0.4109 0.0000
36.5000 0.4104 0.0000
37.0000 0.4099 0.0000
37.5000 0.4093 0.0000
38.0000 0.4088 0.0000
38.5000 0.4082 0.0000
39.0000 0.4076 0.0000
39.5000 0.4069 0.0000
40.0000 0.4063 0.0000
40.5000 0.4056 0.0000
41.0000 0.4050 0.0000
41.5000 0.4043 0.0000
42.0000 0.4036 0.0000
42.5000 0.4029 0.0000
43.0000 0.4022 0.0000
43.5000 0.4014 0.0000
44.0000 0.4007 0.0000
44.5000 0.4000 0.0000
45.0000 0.3992 0.0000
45.5000 0.3985 0.0000
46.0000 0.3978 0.0000
46.5000 0.3971 0.0000
47.0000 0.3963 0.0000
47.5000 0.3956 0.0000
48.0000 0.3949 0.0000
48.5000 0.3942 0.0000
49.0000 0.3935 0.0000
49.5000 0.3929 0.0000
50.0000 0.3922 0.0000
50.5000 0.3916 0.0000
51.0000 0.3909 0.0000
51.5000 0.3903 0.0000
52.0000 0.3897 0.0000
52.5000 0.3892 0.0000
53.0000 0.3886 0.0000
53.5000 0.3881 0.0000
54.0000 0.3876 0.0000
54.5000 0.3872 0.0000
55.0000 0.3868 0.0000
55.5000 0.3864 0.0000
56.0000 0.3860 0.0000
56.5000 0.3857 0.0000
57.0000 0.3854 0.0000
57.5000 0.3852 0.0000
58.0000 0.3850 0.0000
58.5000 0.3848 0.0000
59.0000 0.3847 0.0000
59.5000 0.3846 0.0000
60.0000 0.3846 0.0000
60.5000 0.3846 0.0000
61.0000 0.3846 0.0000
61.5000 0.3846 0.0000
62.0000 0.3846 0.0000
62.5000 0.3846 0.0000
63.0000 0.3846 0.0000
63.5000 0.3846 0.0000
64.0000 0.3846 0.0000
64.5000 0.3846 0.0000
65.0000 0.3846 0.0000
65.5000 0.3846 0.0000
66.0000 0.3847 0.0000
66.5000 0.3847 0.0000
67.0000 0.3847 0.0000
67.5000 0.3847 0.0000
68.0000 0.3847 0.0000
68.5000 0.3847 0.0000
69.0000 0.3847 0.0000
69.5000 0.3847 0.0000
70.0000 0.3847 0.0000
70.5000 0.3847 0.0000
71.0000 0.3848 0.0000
71.5000 0.3848 0.0000
72.0000 0.3848 0.0000
72.5000 0.3848 0.0000
73.0000 0.3848 0.0000
73.5000 0.3848 0.0000
74.0000 0.3848 0.0000
74.5000 0.3848 0.0000
75.0000 0.3849 0.0000
75.5000 0.3849 0.0000
76.0000 0.3849 0.0000
76.5000 0.3849 0.0000
77.0000 0.3849 0.0000
77.5000 0.3849 0.0000
78.0000 0.3849 0.0000
78.5000 0.3849 0.0000
79.0000 0.3849 0.0000
79.5000 0.3850 0.0000
80.0000 0.3850 0.0000
80.5000 0.3850 0.0000
81.0000 0.3850 0.0000
81.5000 0.3850 0.0000
82.0000 0.3850 0.0000
82.5000 0.3850 0.0000
83.0000 0.3850 0.0000
83.5000 0.3850 0.0000
84.0000 0.3850 0.0000
84.5000 0.3851 0.0000
85.0000 0.3851 0.0000
85.5000 0.3851 0.0000
86.0000 0.3851 0.0000
86.5000 0.3851 0.0000
87.0000 0.3851 0.0000
87.5000 0.3851 0.0000
88.0000 0.3851 0.0000
88.5000 0.3851 0.0000
89.0000 0.3851 0.0000
89.5000 0.3851 0.0000
90.0000 0.3851 0.0000
90.5000 0.3851 0.0000
91.0000 0.3851 0.0000
91.5000 0.3851 0.0000
92.0000 0.3851 0.0000
92.5000 0.3851 0.0000
93.0000 0.3850 0.0000
93.5000 0.3850 0.0000
94.0000 0.3850 0.0000
94.5000 0.3850 0.0000
95.0000 0.3849 0.0000
95.5000 0.3849 0.0000
96.0000 0.3849 0.0000
96.5000 0.3848 0.0000
97.0000 0.3848 0.0000
97.5000 0.3847 0.0000
98.0000 0.3847 0.0000
98.5000 0.3847 0.0000
99.0000 0.3846 0.0000
99.5000 0.3846 0.0000
100.0000 0.3845 0.0000
100.5000 0.3845 0.0000
101.0000 0.3844 0.0000
101.5000 0.3843 0.0000
102.0000 0.3843 0.0000
102.5000 0.3842 0.0000
103.0000 0.3842 0.0000
103.5000 0.3841 0.0000
104.0000 0.3841 0.0000
104.5000 0.3840 0.0000
105.0000 0.3840 0.0000
105.5000 0.3839 0.0000
106.0000 0.3838 0.0000
106.5000 0.3838 0.0000
107.0000 0.3837 0.0000
107.5000 0.3837 0.0000
108.0000 0.3836 0.0000
108.5000 0.3836 0.0000
109.0000 0.3835 0.0000
109.5000 0.3834 0.0000
110.0000 0.3834 0.0000
110.5000 0.3833 0.0000
111.0000 0.3833 0.0000
111.5000 0.3832 0.0000
112.0000 0.3832 0.0000
112.5000 0.3832 0.0000
113.0000 0.3831 0.0000
113.5000 0.3831 0.0000
114.0000 0.3830 0.0000
114.5000 0.3830 0.0000
115.0000 0.3830 0.0000
115.5000 0.3829 0.0000
116.0000 0.3829 0.0000
116.5000 0.3829 0.0000
117.0000 0.3829 0.0000
117.5000 0.3828 0.0000
118.0000 0.3828 0.0000
118.5000 0.3828 0.0000
119.0000 0.3828 0.0000
119.5000 0.3828 0.0000
120.0000 0.3828 0.0000
