t trac brk
0.0000 0.0000 0.4126
0.5000 0.0000 0.4126
1.0000 0.0000 0.4125
1.5000 0.0000 0.4124
2.0000 0.0000 0.4123
2.5000 0.0000 0.4121
3.0000 0.0000 0.4119
3.5000 0.0000 0.4117
4.0000 0.0000 0.4114
4.5000 0.0000 0.4111
5.0000 0.0000 0.4108
5.5000 0.0000 0.4104
6.0000 0.0000 0.4101
6.5000 0.0000 0.4096
7.0000 0.0000 0.4092
7.5000 0.0000 0.4088
8.0000 0.0000 0.4083
8.5000 0.0000 0.4078
9.0000 0.0000 0.4073
9.5000 0.0000 0.4068
10.0000 0.0000 0.4062
10.5000 0.0000 0.4057
11.0000 0.0000 0.4051
11.5000 0.0000 0.4046
12.0000 0.0000 0.4040
12.5000 0.0000 0.4034
13.0000 0.0000 0.4028
13.5000 0.0000 0.4022
14.0000 0.0000 0.4016
14.5000 0.0000 0.4010
15.0000 0.0000 0.4003
15.5000 0.0000 0.3997
16.0000 0.0000 0.3991
16.5000 0.0000 0.3985
17.0000 0.0000 0.3979
17.5000 0.0000 0.3973
18.0000 0.0000 0.3967
18.5000 0.0000 0.3961
19.0000 0.0000 0.3956
19.5000 0.0000 0.3950
20.0000 0.0000 0.3945
20.5000 0.0000 0.3939
21.0000 0.0000 0.3934
21.5000 0.0000 0.3929
22.0000 0.0000 0.3924
22.5000 0.0000 0.3919
23.0000 0.0000 0.3915
23.5000 0.0000 0.3911
24.0000 0.0000 0.3906
24.5000 0.0000 0.3903
25.0000 0.0000 0.3899
25.5000 0.0000 0.3896
26.0000 0.0000 0.3893
26.5000 0.0000 0.3890
27.0000 0.0000 0.3888
27.5000 0.0000 0.3886
28.0000 0.0000 0.3884
28.5000 0.0000 0.3883
29.0000 0.0000 0.3882
29.5000 0.0000 0.3881
30.0000 0.0000 0.3881
30.5000 0.0000 0.3881
31.0000 0.0000 0.3881
31.5000 0.0000 0.3882
32.0000 0.0000 0.3882
32.5000 0.0000 0.3883
33.0000 0.0000 0.3883
33.5000 0.0000 0.3884
34.0000 0.0000 0.3885
34.5000 0.0000 0.3886
35.0000 0.0000 0.3887
35.5000 0.0000 0.3888
36.0000 0.0000 0.3889
36.5000 0.0000 0.3891
37.0000 0.0000 0.3892
37.5000 0.0000 0.3893
38.0000 0.0000 0.3895
38.5000 0.0000 0.3897
39.0000 0.0000 0.3898
39.5000 0.0000 0.3900
40.0000 0.0000 0.3902
40.5000 0.0000 0.3904
41.0000 0.0000 0.3905
41.5000 0.0000 0.3907
42.0000 0.0000 0.3909
42.5000 0.0000 0.3911
43.0000 0.0000 0.3913
43.5000 0.0000 0.3915
44.0000 0.0000 0.3917
44.5000 0.0000 0.3919
45.0000 0.0000 0.3921
45.5000 0.0000 0.3923
46.0000 0.0000 0.3925
46.5000 0.0000 0.3927
47.0000 0.0000 0.3929
47.5000 0.0000 0.3931
48.0000 0.0000 0.3933
48.5000 0.0000 0.3935
49.0000 0.0000 0.3937
49.5000 0.0000 0.3938
50.0000 0.0000 0.3940
50.5000 0.0000 0.3942
51.0000 0.0000 0.3944
51.5000 0.0000 0.3945
52.0000 0.0000 0.3947
52.5000 0.0000 0.3949
53.0000 0.0000 0.3950
53.5000 0.0000 0.3951
54.0000 0.0000 0.3953
54.5000 0.0000 0.3954
55.0000 0.0000 0.3955
55.5000 0.0000 0.3956
56.0000 0.0000 0.3957
56.5000 0.0000 0.3958
57.0000 0.0000 0.3959
57.5000 0.0000 0.3959
58.0000 0.0000 0.3960
58.5000 0.0000 0.3960
59.0000 0.0000 0.3961
59.5000 0.0000 0.3961
60.0000 0.0000 0.3961
60.5000 0.0000 0.3961
61.0000 0.0000 0.3961
61.5000 0.0000 0.3960
62.0000 0.0000 0.3959
62.5000 0.0000 0.3958
63.0000 0.0000 0.3957
63.5000 0.0000 0.3956
64.0000 0.0000 0.3955
64.5000 0.0000 0.3953
65.0000 0.0000 0.3951
65.5000 0.0000 0.3949
66.0000 0.0000 0.3947
66.5000 0.0000 0.3945
67.0000 0.0000 0.3943
67.5000 0.0000 0.3941
68.0000 0.0000 0.3938
68.5000 0.0000 0.3936
69.0000 0.0000 0.3933
69.5000 0.0000 0.3930
70.0000 0.0000 0.3927
70.5000 0.0000 0.3924
71.0000 0.0000 0.3921
71.5000 0.0000 0.3918
72.0000 0.0000 0.3915
72.5000 0.0000 0.3912
73.0000 0.0000 0.3909
73.5000 0.0000 0.3906
74.0000 0.0000 0.3902
74.5000 0.0000 0.3899
75.0000 0.0000 0.3896
75.5000 0.0000 0.3893
76.0000 0.0000 0.3890
76.5000 0.0000 0.3886
77.0000 0.0000 0.3883
77.5000 0.0000 0.3880
78.0000 0.0000 0.3877
78.5000 0.0000 0.3874
79.0000 0.0000 0.3871
79.5000 0.0000 0.3868
80.0000 0.0000 0.3865
80.5000 0.0000 0.3862
81.0000 0.0000 0.3859
81.5000 0.0000 0.3856
82.0000 0.0000 0.3854
82.5000 0.0000 0.3851
83.0000 0.0000 0.3849
83.5000 0.0000 0.3847
84.0000 0.0000 0.3845
84.5000 0.0000 0.3843
85.0000 0.0000 0.3841
85.5000 0.0000 0.3839
86.0000 0.0000 0.3837
86.5000 0.0000 0.3836
87.0000 0.0000 0.3835
87.5000 0.0000 0.3834
88.0000 0.0000 0.3833
88.5000 0.0000 0.3832
89.0000 0.0000 0.3831
89.5000 0.0000 0.3831
90.0000 0.0000 0.3831
90.5000 0.0000 0.3831
91.0000 0.0000 0.3831
91.5000 0.0000 0.3830
92.0000 0.0000 0.3830
92.5000 0.0000 0.3829
93.0000 0.0000 0.3828
93.5000 0.0000 0.3827
94.0000 0.0000 0.3825
94.5000 0.0000 0.3824
95.0000 0.0000 0.3822
95.5000 0.0000 0.3821
96.0000 0.0000 0.3819
96.5000 0.0000 0.3817
97.0000 0.0000 0.3815
97.5000 0.0000 0.3813
98.0000 0.0000 0.3810
98.5000 0.0000 0.3808
99.0000 0.0000 0.3806
99.5000 0.0000 0.3803
100.0000 0.0000 0.3801
100.5000 0.0000 0.3798
101.0000 0.0000 0.3795
101.5000 0.0000 0.3793
102.0000 0.0000 0.3790
102.5000 0.0000 0.3787
103.0000 0.0000 0.3784
103.5000 0.0000 0.3781
104.0000 0.0000 0.3778
104.5000 0.0000 0.3775
105.0000 0.0000 0.3772
105.5000 0.0000 0.3770
106.0000 0.0000 0.3767
106.5000 0.0000 0.3764
107.0000 0.0000 0.3761
107.5000 0.0000 0.3758
108.0000 0.0000 0.3755
108.5000 0.0000 0.3752
109.0000 0.0000 0.3750
109.5000 0.0000 0.3747
110.0000 0.0000 0.3744
110.5000 0.0000 0.3742
111.0000 0.0000 0.3739
111.5000 0.0000 0.3737
112.0000 0.0000 0.3735
112.5000 0.0000 0.3732
113.0000 0.0000 0.3730
113.5000 0.0000 0.3728
114.0000 0.0000 0.3726
114.5000 0.0000 0.3724
115.0000 0.0000 0.3723
115.5000 0.0000 0.3721
116.0000 0.0000 0.3720
116.5000 0.0000 0.3718
117.0000 0.0000 0.3717
117.5000 0.0000 0.3716
118.0000 0.0000 0.3715
118.5000 0.0000 0.3715
119.0000 0.0000 0.3714
119.5000 0.0000 0.3714
120.0000 0.0000 0.3714
