t trac brk
0.0000 0.3317 0.0000
0.5000 0.3318 0.0000
1.0000 0.3320 0.0000
1.5000 0.3324 0.0000
2.0000 0.3329 0.0000
2.5000 0.3336 0.0000
3.0000 0.3343 0.0000
3.5000 0.3353 0.0000
4.0000 0.3363 0.0000
4.5000 0.3375 0.0000
5.0000 0.3387 0.0000
5.5000 0.3401 0.0000
6.0000 0.3416 0.0000
6.5000 0.3432 0.0000
7.0000 0.3449 0.0000
7.5000 0.3466 0.0000
8.0000 0.3485 0.0000
8.5000 0.3504 0.0000
9.0000 0.3524 0.0000
9.5000 0.3545 0.0000
10.0000 0.3567 0.0000
10.5000 0.3589 0.0000
11.0000 0.3611 0.0000
11.5000 0.3635 0.0000
12.0000 0.3658 0.0000
12.5000 0.3683 0.0000
13.0000 0.3707 0.0000
13.5000 0.3732 0.0000
14.0000 0.3757 0.0000
14.5000 0.3782 0.0000
15.0000 0.3808 0.0000
15.5000 0.3834 0.0000
16.0000 0.3859 0.0000
16.5000 0.3885 0.0000
17.0000 0.3911 0.0000
17.5000 0.3937 0.0000
18.0000 0.3963 0.0000
18.5000 0.3988 0.0000
19.0000 0.4014 0.0000
19.5000 0.4039 0.0000
20.0000 0.4064 0.0000
20.5000 0.4089 0.0000
21.0000 0.4113 0.0000
21.5000 0.4137 0.0000
22.0000 0.4160 0.0000
22.5000 0.4183 0.0000
23.0000 0.4205 0.0000
23.5000 0.4227 0.0000
24.0000 0.4248 0.0000
24.5000 0.4268 0.0000
25.0000 0.4288 0.0000
25.5000 0.4306 0.0000
26.0000 0.4324 0.0000
26.5000 0.4341 0.0000
27.0000 0.4357 0.0000
27.5000 0.4372 0.0000
28.0000 0.4386 0.0000
28.5000 0.4399 0.0000
29.0000 0.4411 0.0000
29.5000 0.4422 0.0000
30.0000 0.4431 0.0000
30.5000 0.4440 0.0000
31.0000 0.4447 0.0000
31.5000 0.4452 0.0000
32.0000 0.4456 0.0000
32.5000 0.4459 0.0000
33.0000 0.4460 0.0000
33.5000 0.4462 0.0000
34.0000 0.4469 0.0000
34.5000 0.4483 0.0000
35.0000 0.4501 0.0000
35.5000 0.4524 0.0000
36.0000 0.4552 0.0000
36.5000 0.4584 0.0000
37.0000 0.4620 0.0000
37.5000 0.4659 0.0000
38.0000 0.4701 0.0000
38.5000 0.4746 0.0000
39.0000 0.4792 0.0000
39.5000 0.4841 0.0000
40.0000 0.4891 0.0000
40.5000 0.4942 0.0000
41.0000 0.4993 0.0000
41.5000 0.5045 0.0000
42.0000 0.5097 0.0000
42.5000 0.5149 0.0000
43.0000 0.5199 0.0000
43.5000 0.5248 0.0000
44.0000 0.5296 0.0000
44.5000 0.5342 0.0000
45.0000 0.5385 0.0000
45.5000 0.5425 0.0000
46.0000 0.5462 0.0000
46.5000 0.5496 0.0000
47.0000 0.5526 0.0000
47.5000 0.5551 0.0000
48.0000 0.5572 0.0000
48.5000 0.5587 0.0000
49.0000 0.5598 0.0000
49.5000 0.5602 0.0000
50.0000 0.5603 0.0000
50.5000 0.5609 0.0000
51.0000 0.5620 0.0000
51.5000 0.5634 0.0000
52.0000 0.5652 0.0000
52.5000 0.5673 0.0000
53.0000 0.5698 0.0000
53.5000 0.5726 0.0000
54.0000 0.5757 0.0000
54.5000 0.5790 0.0000
55.0000 0.5825 0.0000
55.5000 0.5863 0.0000
56.0000 0.5902 0.0000
56.5000 0.5943 0.0000
57.0000 0.5985 0.0000
57.5000 0.6028 0.0000
58.0000 0.6072 0.0000
58.5000 0.6117 0.0000
59.0000 0.6162 0.0000
59.5000 0.6207 0.0000
60.0000 0.6252 0.0000
60.5000 0.6296 0.0000
61.0000 0.6340 0.0000
61.5000 0.6382 0.0000
62.0000 0.6424 0.0000
62.5000 0.6464 0.0000
63.0000 0.6502 0.0000
63.5000 0.6539 0.0000
64.0000 0.6573 0.0000
64.5000 0.6605 0.0000
65.0000 0.6634 0.0000
65.5000 0.6661 0.0000
66.0000 0.6684 0.0000
66.5000 0.6704 0.0000
67.0000 0.6720 0.0000
67.5000 0.6732 0.0000
68.0000 0.6740 0.0000
68.5000 0.6744 0.0000
69.0000 0.6745 0.0000
69.5000 0.6753 0.0000
70.0000 0.6765 0.0000
70.5000 0.6783 0.0000
71.0000 0.6805 0.0000
