t trac brk
0.0000 0.4471 0.1317
0.5000 0.4471 0.1317
1.0000 0.4471 0.1316
1.5000 0.4472 0.1315
2.0000 0.4473 0.1314
2.5000 0.4473 0.1313
3.0000 0.4474 0.1311
3.5000 0.4476 0.1309
4.0000 0.4477 0.1307
4.5000 0.4478 0.1304
5.0000 0.4480 0.1301
5.5000 0.4482 0.1298
6.0000 0.4484 0.1295
6.5000 0.4486 0.1292
7.0000 0.4488 0.1288
7.5000 0.4490 0.1284
8.0000 0.4493 0.1280
8.5000 0.4495 0.1276
9.0000 0.4498 0.1271
9.5000 0.4501 0.1267
10.0000 0.4504 0.1262
10.5000 0.4507 0.1258
11.0000 0.4510 0.1253
11.5000 0.4513 0.1248
12.0000 0.4516 0.1243
12.5000 0.4519 0.1238
13.0000 0.4523 0.1232
13.5000 0.4526 0.1227
14.0000 0.4530 0.1222
14.5000 0.4533 0.1217
15.0000 0.4537 0.1212
15.5000 0.4541 0.1206
16.0000 0.4545 0.1201
16.5000 0.4548 0.1196
17.0000 0.4552 0.1191
17.5000 0.4556 0.1185
18.0000 0.4560 0.1180
18.5000 0.4564 0.1175
19.0000 0.4568 0.1170
19.5000 0.4572 0.1165
20.0000 0.4576 0.1161
20.5000 0.4579 0.1156
21.0000 0.4583 0.1152
21.5000 0.4587 0.1147
22.0000 0.4591 0.1143
22.5000 0.4595 0.1139
23.0000 0.4599 0.1135
23.5000 0.4603 0.1131
24.0000 0.4606 0.1128
24.5000 0.4610 0.1125
25.0000 0.4614 0.1122
25.5000 0.4618 0.1119
26.0000 0.4621 0.1116
26.5000 0.4625 0.1114
27.0000 0.4628 0.1112
27.5000 0.4632 0.1110
28.0000 0.4635 0.1109
28.5000 0.4638 0.1108
29.0000 0.4641 0.1107
29.5000 0.4644 0.1106
30.0000 0.4647 0.1106
30.5000 0.4650 0.1106
31.0000 0.4653 0.1106
31.5000 0.4656 0.1107
32.0000 0.4658 0.1108
32.5000 0.4661 0.1109
33.0000 0.4663 0.1110
33.5000 0.4665 0.1111
34.0000 0.4667 0.1113
34.5000 0.4669 0.1115
35.0000 0.4671 0.1117
35.5000 0.4673 0.1119
36.0000 0.4674 0.1121
36.5000 0.4675 0.1123
37.0000 0.4677 0.1126
37.5000 0.4678 0.1129
38.0000 0.4678 0.1131
38.5000 0.4679 0.1134
39.0000 0.4680 0.1137
39.5000 0.4680 0.1140
40.0000 0.4680 0.1143
40.5000 0.4680 0.1147
41.0000 0.4680 0.1150
41.5000 0.4679 0.1153
42.0000 0.4678 0.1157
42.5000 0.4678 0.1160
43.0000 0.4676 0.1164
43.5000 0.4675 0.1167
44.0000 0.4674 0.1171
44.5000 0.4672 0.1174
45.0000 0.4671 0.1178
45.5000 0.4669 0.1182
46.0000 0.4667 0.1185
46.5000 0.4665 0.1189
47.0000 0.4662 0.1192
47.5000 0.4660 0.1196
48.0000 0.4657 0.1199
48.5000 0.4655 0.1203
49.0000 0.4652 0.1206
49.5000 0.4649 0.1209
50.0000 0.4646 0.1213
50.5000 0.4643 0.1216
51.0000 0.4639 0.1219
51.5000 0.4636 0.1222
52.0000 0.4633 0.1225
52.5000 0.4629 0.1227
53.0000 0.4626 0.1230
53.5000 0.4622 0.1233
54.0000 0.4618 0.1235
54.5000 0.4615 0.1237
55.0000 0.4611 0.1239
55.5000 0.4607 0.1241
56.0000 0.4603 0.1243
56.5000 0.4599 0.1245
57.0000 0.4595 0.1246
57.5000 0.4591 0.1247
58.0000 0.4587 0.1248
58.5000 0.4583 0.1249
59.0000 0.4579 0.1250
59.5000 0.4575 0.1250
60.0000 0.4571 0.1250
60.5000 0.4566 0.1250
61.0000 0.4562 0.1250
61.5000 0.4558 0.1250
62.0000 0.4554 0.1251
62.5000 0.4550 0.1251
63.0000 0.4546 0.1252
63.5000 0.4542 0.1252
64.0000 0.4538 0.1253
64.5000 0.4534 0.1254
65.0000 0.4530 0.1255
65.5000 0.4526 0.1256
66.0000 0.4523 0.1257
66.5000 0.4519 0.1258
67.0000 0.4515 0.1259
67.5000 0.4512 0.1260
68.0000 0.4508 0.1261
68.5000 0.4505 0.1263
69.0000 0.4502 0.1264
69.5000 0.4498 0.1265
70.0000 0.4495 0.1267
70.5000 0.4492 0.1268
71.0000 0.4489 0.1270
71.5000 0.4486 0.1271
72.0000 0.4484 0.1273
72.5000 0.4481 0.1274
73.0000 0.4479 0.1276
73.5000 0.4476 0.1278
74.0000 0.4474 0.1279
74.5000 0.4472 0.1281
75.0000 0.4470 0.1283
75.5000 0.4469 0.1284
76.0000 0.4467 0.1286
76.5000 0.4466 0.1287
77.0000 0.4465 0.1289
77.5000 0.4463 0.1291
78.0000 0.4463 0.1292
78.5000 0.4462 0.1294
79.0000 0.4461 0.1295
79.5000 0.4461 0.1297
80.0000 0.4461 0.1298
80.5000 0.4461 0.1300
81.0000 0.4461 0.1301
81.5000 0.4461 0.1302
82.0000 0.4461 0.1304
82.5000 0.4461 0.1305
83.0000 0.4461 0.1306
83.5000 0.4460 0.1307
84.0000 0.4460 0.1308
84.5000 0.4460 0.1309
85.0000 0.4460 0.1310
85.5000 0.4459 0.1311
86.0000 0.4459 0.1312
86.5000 0.4459 0.1313
87.0000 0.4458 0.1313
87.5000 0.4458 0.1314
88.0000 0.4458 0.1314
88.5000 0.4457 0.1315
89.0000 0.4457 0.1315
89.5000 0.4457 0.1315
90.0000 0.4456 0.1315
90.5000 0.4456 0.1315
91.0000 0.4455 0.1315
91.5000 0.4455 0.1315
92.0000 0.4454 0.1315
92.5000 0.4454 0.1315
93.0000 0.4453 0.1315
93.5000 0.4453 0.1315
94.0000 0.4452 0.1316
94.5000 0.4452 0.1316
95.0000 0.4451 0.1316
95.5000 0.4451 0.1316
96.0000 0.4450 0.1316
96.5000 0.4450 0.1316
