t trac brk
0.0000 0.5173 0.0000
0.5000 0.5179 0.0000
1.0000 0.5198 0.0000
1.5000 0.5228 0.0000
2.0000 0.5270 0.0000
2.5000 0.5322 0.0000
3.0000 0.5383 0.0000
3.5000 0.5454 0.0000
4.0000 0.5533 0.0000
4.5000 0.5620 0.0000
5.0000 0.5713 0.0000
5.5000 0.5814 0.0000
6.0000 0.5920 0.0000
6.5000 0.6032 0.0000
7.0000 0.6148 0.0000
7.5000 0.6267 0.0000
8.0000 0.6391 0.0000
8.5000 0.6516 0.0000
9.0000 0.6644 0.0000
9.5000 0.6773 0.0000
10.0000 0.6903 0.0000
10.5000 0.7032 0.0000
11.0000 0.7161 0.0000
11.5000 0.7289 0.0000
12.0000 0.7414 0.0000
12.5000 0.7538 0.0000
13.0000 0.7657 0.0000
13.5000 0.7773 0.0000
14.0000 0.7885 0.0000
14.5000 0.7991 0.0000
15.0000 0.8092 0.0000
15.5000 0.8185 0.0000
16.0000 0.8272 0.0000
16.5000 0.8351 0.0000
17.0000 0.8422 0.0000
17.5000 0.8483 0.0000
18.0000 0.8535 0.0000
18.5000 0.8577 0.0000
19.0000 0.8607 0.0000
19.5000 0.8626 0.0000
20.0000 0.8632 0.0000
20.5000 0.8628 0.0000
21.0000 0.8617 0.0000
21.5000 0.8598 0.0000
22.0000 0.8573 0.0000
22.5000 0.8541 0.0000
23.0000 0.8504 0.0000
23.5000 0.8460 0.0000
24.0000 0.8412 0.0000
24.5000 0.8359 0.0000
25.0000 0.8302 0.0000
25.5000 0.8240 0.0000
26.0000 0.8175 0.0000
26.5000 0.8107 0.0000
27.0000 0.8036 0.0000
27.5000 0.7963 0.0000
28.0000 0.7888 0.0000
28.5000 0.7811 0.0000
29.0000 0.7733 0.0000
29.5000 0.7654 0.0000
30.0000 0.7574 0.0000
30.5000 0.7495 0.0000
31.0000 0.7416 0.0000
31.5000 0.7338 0.0000
32.0000 0.7261 0.0000
32.5000 0.7186 0.0000
33.0000 0.7113 0.0000
33.5000 0.7042 0.0000
34.0000 0.6974 0.0000
34.5000 0.6909 0.0000
35.0000 0.6847 0.0000
35.5000 0.6790 0.0000
36.0000 0.6737 0.0000
36.5000 0.6689 0.0000
37.0000 0.6645 0.0000
37.5000 0.6608 0.0000
38.0000 0.6576 0.0000
38.5000 0.6551 0.0000
39.0000 0.6532 0.0000
39.5000 0.6521 0.0000
40.0000 0.6517 0.0000
40.5000 0.6509 0.0000
41.0000 0.6484 0.0000
41.5000 0.6444 0.0000
42.0000 0.6389 0.0000
42.5000 0.6321 0.0000
43.0000 0.6240 0.0000
43.5000 0.6147 0.0000
44.0000 0.6043 0.0000
44.5000 0.5928 0.0000
45.0000 0.5805 0.0000
45.5000 0.5672 0.0000
46.0000 0.5532 0.0000
46.5000 0.5385 0.0000
47.0000 0.5233 0.0000
47.5000 0.5075 0.0000
48.0000 0.4912 0.0000
48.5000 0.4747 0.0000
49.0000 0.4578 0.0000
49.5000 0.4408 0.0000
50.0000 0.4237 0.0000
50.5000 0.4067 0.0000
51.0000 0.3897 0.0000
51.5000 0.3728 0.0000
52.0000 0.3563 0.0000
52.5000 0.3400 0.0000
53.0000 0.3242 0.0000
53.5000 0.3090 0.0000
54.0000 0.2943 0.0000
54.5000 0.2803 0.0000
55.0000 0.2670 0.0000
55.5000 0.2547 0.0000
56.0000 0.2432 0.0000
56.5000 0.2328 0.0000
57.0000 0.2235 0.0000
57.5000 0.2154 0.0000
58.0000 0.2086 0.0000
58.5000 0.2031 0.0000
59.0000 0.1991 0.0000
59.5000 0.1966 0.0000
60.0000 0.1958 0.0000
60.5000 0.1960 0.0000
61.0000 0.1964 0.0000
61.5000 0.1972 0.0000
62.0000 0.1983 0.0000
62.5000 0.1996 0.0000
63.0000 0.2012 0.0000
63.5000 0.2030 0.0000
64.0000 0.2050 0.0000
64.5000 0.2073 0.0000
65.0000 0.2097 0.0000
65.5000 0.2122 0.0000
66.0000 0.2150 0.0000
66.5000 0.2178 0.0000
67.0000 0.2208 0.0000
67.5000 0.2239 0.0000
68.0000 0.2270 0.0000
68.5000 0.2302 0.0000
69.0000 0.2335 0.0000
69.5000 0.2368 0.0000
70.0000 0.2401 0.0000
70.5000 0.2435 0.0000
71.0000 0.2468 0.0000
71.5000 0.2501 0.0000
72.0000 0.2533 0.0000
72.5000 0.2564 0.0000
73.0000 0.2595 0.0000
73.5000 0.2625 0.0000
74.0000 0.2653 0.0000
74.5000 0.2681 0.0000
75.0000 0.2706 0.0000
75.5000 0.2730 0.0000
76.0000 0.2753 0.0000
76.5000 0.2773 0.0000
77.0000 0.2791 0.0000
77.5000 0.2807 0.0000
78.0000 0.2820 0.0000
78.5000 0.2831 0.0000
79.0000 0.2839 0.0000
79.5000 0.2843 0.0000
80.0000 0.2845 0.0000
80.5000 0.2846 0.0000
81.0000 0.2848 0.0000
81.5000 0.2852 0.0000
82.0000 0.2857 0.0000
82.5000 0.2863 0.0000
83.0000 0.2870 0.0000
83.5000 0.2878 0.0000
84.0000 0.2888 0.0000
84.5000 0.2898 0.0000
85.0000 0.2909 0.0000
85.5000 0.2921 0.0000
86.0000 0.2934 0.0000
86.5000 0.2947 0.0000
87.0000 0.2961 0.0000
87.5000 0.2975 0.0000
88.0000 0.2990 0.0000
88.5000 0.3005 0.0000
89.0000 0.3020 0.0000
89.5000 0.3036 0.0000
90.0000 0.3051 0.0000
90.5000 0.3066 0.0000
91.0000 0.3082 0.0000
91.5000 0.3097 0.0000
92.0000 0.3112 0.0000
92.5000 0.3127 0.0000
93.0000 0.3141 0.0000
93.5000 0.3155 0.0000
94.0000 0.3168 0.0000
94.5000 0.3181 0.0000
95.0000 0.3193 0.0000
95.5000 0.3204 0.0000
96.0000 0.3214 0.0000
96.5000 0.3224 0.0000
97.0000 0.3232 0.0000
97.5000 0.3239 0.0000
98.0000 0.3245 0.0000
98.5000 0.3250 0.0000
99.0000 0.3254 0.0000
99.5000 0.3256 0.0000
100.0000 0.3257 0.0000
100.5000 0.3265 0.0000
101.0000 0.3290 0.0000
101.5000 0.3330 0.0000
