s_km grade_pct kappa vmax_kmh
0.00000 -0.32280 0.00000 19.31213
0.10000 0.59526 -0.00095 19.31213
0.20000 1.51057 -0.00127 19.31213
0.30000 2.18750 -0.00000 19.31213
0.39000 2.49922 0.00225 19.31213
0.48000 2.49922 0.00273 19.31213
0.58000 2.49922 0.00064 19.31213
0.67000 2.44140 -0.00187 19.31213
0.76000 1.62343 -0.00335 19.31213
0.86000 1.56973 -0.00360 19.31213
0.96000 1.76306 -0.00363 19.31213
1.06000 1.77787 -0.00358 19.31213
1.16000 1.71836 -0.00219 19.31213
1.26000 1.47512 0.00122 19.31213
1.36000 1.43201 0.00333 19.31213
1.46000 1.41246 0.00304 19.31213
1.56000 1.28075 0.00113 19.31213
1.66000 1.18172 0.00044 19.31213
1.76000 1.20004 0.00054 19.31213
1.86000 1.19179 0.00006 19.31213
1.96000 1.01689 0.00000 19.31213
2.06000 0.69486 0.00001 19.31213
2.16000 0.55495 -0.00002 19.31213
2.26000 0.54576 0.00001 19.31213
2.36000 0.57157 -0.00000 19.31213
2.46000 0.59116 0.00001 19.31213
2.55000 0.63313 0.00002 19.31213
2.65000 0.69831 -0.00003 19.31213
2.73000 0.70539 0.00000 19.31213
2.83000 0.74348 -0.00000 19.31213
2.93000 0.76150 -0.00001 19.31213
3.03000 0.85237 -0.00000 19.31213
3.13000 0.93679 0.00003 19.31213
3.23000 1.02414 -0.00000 19.31213
3.33000 1.02595 -0.00026 19.31213
3.43000 0.92627 -0.00019 19.31213
3.53000 0.70100 0.00026 19.31213
3.63000 0.48857 0.00055 19.31213
3.73000 0.21343 -0.00018 19.31213
3.83000 0.06241 -0.00005 19.31213
3.93000 -0.03262 -0.00046 19.31213
4.03000 -0.04128 -0.00028 19.31213
4.13000 -0.01165 -0.00001 19.31213
4.23000 0.02816 -0.00001 19.31213
4.33000 0.06536 -0.00000 19.31213
4.43000 0.09801 0.00001 19.31213
4.53000 0.12419 0.00003 19.31213
4.63000 0.13823 -0.00003 19.31213
4.73000 0.14979 -0.00002 19.31213
4.83000 0.15094 0.00001 19.31213
4.93000 0.14029 0.00000 19.31213
5.03000 0.11994 0.00000 19.31213
5.13000 0.09104 0.00001 19.31213
5.23000 0.05243 0.00001 19.31213
5.33000 -0.01546 -0.00001 19.31213
5.43000 -0.15176 -0.00001 19.31213
5.53000 -0.07639 0.00033 19.31213
5.63000 0.17417 0.00032 19.31213
5.73000 0.48818 -0.00041 19.31213
5.83000 0.71122 -0.00023 19.31213
5.93000 0.83995 0.00000 19.31213
6.03000 0.96378 0.00000 19.31213
6.13000 1.03897 0.00001 19.31213
6.23000 0.88831 -0.00001 19.31213
6.33000 0.68440 0.00001 19.31213
6.43000 0.61407 -0.00000 19.31213
6.53000 0.72101 -0.00000 19.31213
6.63000 0.77282 -0.00000 19.31213
6.73000 0.70323 0.00000 19.31213
6.83000 0.59990 -0.00000 19.31213
6.93000 0.62412 0.00000 19.31213
7.03000 0.67097 0.00000 19.31213
7.13000 0.64196 -0.00000 19.31213
7.23000 0.56532 -0.00000 19.31213
7.33000 0.55166 0.00000 19.31213
7.43000 0.56589 -0.00000 19.31213
7.53000 0.52996 -0.00000 19.31213
7.63000 0.41675 -0.00002 19.31213
7.72000 0.31467 -0.00001 64.37376
7.82000 0.25723 0.00000 64.37376
7.92000 0.20609 0.00000 64.37376
8.02000 0.17605 0.00000 64.37376
8.12000 0.19549 0.00000 64.37376
8.22000 0.27188 -0.00000 64.37376
8.32000 0.32360 -0.00000 64.37376
8.42000 0.34381 -0.00000 64.37376
8.52000 0.32696 0.00000 64.37376
8.62000 0.27181 0.00000 64.37376
8.72000 0.21049 -0.00000 64.37376
8.82000 0.19085 0.00000 64.37376
8.92000 0.29075 0.00000 64.37376
9.02000 0.43673 0.00000 64.37376
9.12000 0.52679 0.00000 64.37376
9.22000 0.58454 -0.00000 64.37376
9.32000 0.61845 -0.00000 64.37376
9.42000 0.61948 -0.00000 64.37376
